Provincias de destino;Procedencia de los viajeros;Meses;Total
Castellón;No Residentes en España;Mayo;11,85
Castellón;No Residentes en España;Junio;5,92
Castellón;No Residentes en España;Julio;11,05
Castellón;No Residentes en España;Agosto;8,69
Castellón;No Residentes en España;Septiembre;6,57
Castellón;No Residentes en España;Octubre;22
Castellón;No Residentes en España;Noviembre;15,65
Castellón;No Residentes en España;Diciembre;7,42
Ciudad Real;Total;Total;2,3
Ciudad Real;Total;Enero;1,99
Ciudad Real;Total;Febrero;2,28
Ciudad Real;Total;Marzo;2,55
Ciudad Real;Total;Abril;2,49
Ciudad Real;Total;Mayo;2,2
Ciudad Real;Total;Junio;2,02
Ciudad Real;Total;Julio;2,46
Ciudad Real;Total;Agosto;2,89
Ciudad Real;Total;Septiembre;1,99
Ciudad Real;Total;Octubre;2,07
Ciudad Real;Total;Noviembre;2,03
Ciudad Real;Total;Diciembre;2,28
Ciudad Real;Residentes en España;Total;2,13
Ciudad Real;Residentes en España;Enero;1,86
Ciudad Real;Residentes en España;Febrero;1,87
Ciudad Real;Residentes en España;Marzo;2,03
Ciudad Real;Residentes en España;Abril;2,17
Ciudad Real;Residentes en España;Mayo;1,92
Ciudad Real;Residentes en España;Junio;1,88
Ciudad Real;Residentes en España;Julio;2,47
Ciudad Real;Residentes en España;Agosto;2,88
Ciudad Real;Residentes en España;Septiembre;1,96
Ciudad Real;Residentes en España;Octubre;1,92
Ciudad Real;Residentes en España;Noviembre;1,8
Ciudad Real;Residentes en España;Diciembre;2,11
Ciudad Real;No Residentes en España;Total;7,94
Ciudad Real;No Residentes en España;Enero;3,5
Ciudad Real;No Residentes en España;Febrero;11,35
Ciudad Real;No Residentes en España;Marzo;16,68
Ciudad Real;No Residentes en España;Abril;15,76
Ciudad Real;No Residentes en España;Mayo;8,5
Ciudad Real;No Residentes en España;Junio;6,67
Ciudad Real;No Residentes en España;Julio;1,76
Ciudad Real;No Residentes en España;Agosto;3,13
Ciudad Real;No Residentes en España;Septiembre;3,38
Ciudad Real;No Residentes en España;Octubre;7,88
Ciudad Real;No Residentes en España;Noviembre;15,77
Ciudad Real;No Residentes en España;Diciembre;27,3
Córdoba;Total;Total;2,94
Córdoba;Total;Enero;2,45
Córdoba;Total;Febrero;2,45
Córdoba;Total;Marzo;2,2
Córdoba;Total;Abril;2,62
Córdoba;Total;Mayo;2,38
Córdoba;Total;Junio;2,66
Córdoba;Total;Julio;3,97
Córdoba;Total;Agosto;4,7
Córdoba;Total;Septiembre;2,24
Córdoba;Total;Octubre;2,49
Córdoba;Total;Noviembre;2,14
Córdoba;Total;Diciembre;2,62
Córdoba;Residentes en España;Total;2,71
Córdoba;Residentes en España;Enero;2,3
Córdoba;Residentes en España;Febrero;2,41
Córdoba;Residentes en España;Marzo;2,03
Córdoba;Residentes en España;Abril;2,67
Córdoba;Residentes en España;Mayo;2,25
Córdoba;Residentes en España;Junio;2,23
Córdoba;Residentes en España;Julio;3,36
Córdoba;Residentes en España;Agosto;4,4
Córdoba;Residentes en España;Septiembre;2,09
Córdoba;Residentes en España;Octubre;2,36
Córdoba;Residentes en España;Noviembre;2,02
Córdoba;Residentes en España;Diciembre;2,56
Córdoba;No Residentes en España;Total;4,35
Córdoba;No Residentes en España;Enero;3,71
Córdoba;No Residentes en España;Febrero;3,69
Córdoba;No Residentes en España;Marzo;2,87
Córdoba;No Residentes en España;Abril;2,41
Córdoba;No Residentes en España;Mayo;2,87
Córdoba;No Residentes en España;Junio;4,76
Córdoba;No Residentes en España;Julio;8,02
Córdoba;No Residentes en España;Agosto;6,4
Córdoba;No Residentes en España;Septiembre;3,1
Córdoba;No Residentes en España;Octubre;3,06
Córdoba;No Residentes en España;Noviembre;3,74
Córdoba;No Residentes en España;Diciembre;6,6
Coruña, A;Total;Total;1,6
Coruña, A;Total;Enero;1,44
Coruña, A;Total;Febrero;1,39
Coruña, A;Total;Marzo;1,36
Coruña, A;Total;Abril;1,39
Coruña, A;Total;Mayo;1,23
Coruña, A;Total;Junio;1,36
Coruña, A;Total;Julio;1,86
Coruña, A;Total;Agosto;2,21
Coruña, A;Total;Septiembre;1,41
Coruña, A;Total;Octubre;1,34
Coruña, A;Total;Noviembre;1,62
Coruña, A;Total;Diciembre;1,62
Coruña, A;Residentes en España;Total;1,73
